project_code,title,description,state,district,constituency,block_or_taluk,village_or_ward,latitude,longitude,mp_name,mp_house,sector,status,sanction_date,expected_completion_date,actual_completion_date,agency_id,agency_name,agency_type,sanctioned_amount,released_amount,expenditure_amount,unspent_balance,financial_progress_pct,physical_progress_pct,output_unit,physical_quantity,cost_per_unit,archetype,data_attribution
MPLAD-TA-COI-01306,Bituminous macadam surfacing of rural connectivity pathway near Sulur main square,"Administrative sanction under MPLADS for: Bituminous macadam surfacing of rural connectivity pathway near Sulur main square. Implemented by Gram Panchayat Development Committee for public benefit in Sulur, Coimbatore.",Tamil Nadu,Coimbatore,Coimbatore (LS-20),Sulur,Sulur,10.963554,77.000515,Ganapathi P. Rajkumar,Lok Sabha,Roads & Pathways,IN_PROGRESS,2025-06-23,2026-02-09,,AGY-PRI-COI,Gram Panchayat Development Committee,Panchayati Raj,5620000,4777000.0,4439800.0,337200.0,79.0,82.6,kilometer,2.4,2341666.67,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-WE-DAR-01183,Laying of piped drinking water distribution network for scheduled caste colony in Sukhiapokhri,"Administrative sanction under MPLADS for: Laying of piped drinking water distribution network for scheduled caste colony in Sukhiapokhri. Implemented by Vanguard Infra Projects Pvt Ltd for public benefit in Sukhiapokhri, Darjeeling.",West Bengal,Darjeeling,Darjeeling (LS-04),Kurseong,Sukhiapokhri,26.993098,88.216621,Raju Bista,Lok Sabha,Drinking Water Supply,IN_PROGRESS,2024-09-02,2025-03-12,,AGY-CONTR-101-DAR,Vanguard Infra Projects Pvt Ltd,Registered Contractor,690000,662400.0,565800.0,96600.0,82.0,88.2,water_installation,2.2,313636.36,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-UT-VAR-01485,Bituminous macadam surfacing of rural connectivity pathway near Cantt main square,"Administrative sanction under MPLADS for: Bituminous macadam surfacing of rural connectivity pathway near Cantt main square. Implemented by Gram Panchayat Development Committee for public benefit in Cantt, Varanasi.",Uttar Pradesh,Varanasi,Varanasi (LS-77),Rohaniya,Cantt,25.292214,83.056407,Narendra Modi,Lok Sabha,Roads & Pathways,STALLED,2022-12-10,2023-10-06,,AGY-PRI-VAR,Gram Panchayat Development Committee,Panchayati Raj,4800000,3360000.0,2856000.0,504000.0,59.5,33.5,kilometer,2.6,1846153.85,DELAYED_PROJECT,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-KA-BEN-01128,Construction of Cement Concrete (CC) Road with side drains from Hosakote to Devanahalli,"Administrative sanction under MPLADS for: Construction of Cement Concrete (CC) Road with side drains from Hosakote to Devanahalli. Implemented by Zilla Parishad Engineering Cell for public benefit in Hosakote, Bengaluru Rural.",Karnataka,Bengaluru Rural,Bengaluru Rural (LS-23),Devanahalli,Hosakote,13.257116,77.640997,C. N. Manjunath,Lok Sabha,Roads & Pathways,IN_PROGRESS,2024-08-10,2025-03-15,,AGY-ZP-BEN,Zilla Parishad Engineering Cell,Panchayati Raj,12650000,10879000.0,10626000.0,253000.0,84.0,90.3,kilometer,5.0,2530000.0,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-MA-PUN-01563,Bituminous macadam surfacing of rural connectivity pathway near Shivajinagar main square,"Administrative sanction under MPLADS for: Bituminous macadam surfacing of rural connectivity pathway near Shivajinagar main square. Implemented by Vanguard Infra Projects Pvt Ltd for public benefit in Shivajinagar, Pune.",Maharashtra,Pune,Pune (LS-34),Haveli,Shivajinagar,18.638046,73.75818,Murlidhar Mohol,Lok Sabha,Roads & Pathways,IN_PROGRESS,2024-06-12,2025-05-31,,AGY-CONTR-101-PUN,Vanguard Infra Projects Pvt Ltd,Registered Contractor,9280000,9187200.0,7145600.0,2041600.0,77.0,90.7,kilometer,3.5,2651428.57,AGENCY_MONOPOLY,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-MA-IND-01220,Laying of underground irrigation pipeline connecting minor irrigation tank to farmlands at Betma,"Administrative sanction under MPLADS for: Laying of underground irrigation pipeline connecting minor irrigation tank to farmlands at Betma. Implemented by Zilla Parishad Engineering Cell for public benefit in Betma, Indore.",Madhya Pradesh,Indore,Indore (LS-26),Mhow,Betma,22.788445,75.890723,Shankar Lalwani,Lok Sabha,Irrigation & Flood Control,IN_PROGRESS,2024-09-13,2025-07-21,,AGY-ZP-IND,Zilla Parishad Engineering Cell,Panchayati Raj,8410000,7905400.0,6223400.0,1682000.0,74.0,87.5,check_dam,4.9,1716326.53,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-MA-PUN-01553,Upgradation of link road and culvert bridging at Manchar,"Administrative sanction under MPLADS for: Upgradation of link road and culvert bridging at Manchar. Implemented by Vanguard Infra Projects Pvt Ltd for public benefit in Manchar, Pune.",Maharashtra,Pune,Pune (LS-34),Haveli,Manchar,18.481313,73.95655000000001,Murlidhar Mohol,Lok Sabha,Roads & Pathways,IN_PROGRESS,2025-09-21,2026-04-28,,AGY-CONTR-101-PUN,Vanguard Infra Projects Pvt Ltd,Registered Contractor,2760000,2760000.0,2290800.0,469200.0,83.0,94.9,kilometer,1.0,2760000.0,AGENCY_MONOPOLY,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-WE-DAR-01140,Bituminous macadam surfacing of rural connectivity pathway near Siliguri main square,"Administrative sanction under MPLADS for: Bituminous macadam surfacing of rural connectivity pathway near Siliguri main square. Implemented by Municipal Corporation Public Infrastructure Cell for public benefit in Siliguri, Darjeeling.",West Bengal,Darjeeling,Darjeeling (LS-04),Kurseong,Siliguri,27.128778,88.24328,Raju Bista,Lok Sabha,Roads & Pathways,IN_PROGRESS,2025-08-01,2026-05-26,,AGY-MUNC-DAR,Municipal Corporation Public Infrastructure Cell,Municipal Corporation,6730000,6057000.0,4980200.0,1076800.0,74.0,85.3,kilometer,2.2,3059090.91,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-RA-JAI-01479,Procurement of Basic Life Support Mobile Ambulance van for community health services in Jaipur,"Administrative sanction under MPLADS for: Procurement of Basic Life Support Mobile Ambulance van for community health services in Jaipur. Implemented by Shree Balaji Civic Builders for public benefit in Amer, Jaipur.",Rajasthan,Jaipur,Jaipur (LS-07),Sanganer,Amer,26.81817,75.711531,Manju Sharma,Lok Sabha,Health & Sanitation,IN_PROGRESS,2024-02-25,2024-09-22,,AGY-CONTR-103-JAI,Shree Balaji Civic Builders,Registered Contractor,11240000,10312458.17,10088051.9,224406.27,89.8,20.0,facility_center,4.4,2554545.45,HIGH_SPEND_LOW_PROGRESS,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-MA-PUN-01238,Rejuvenation of traditional percolation tank and public drinking well at Shivajinagar,"Administrative sanction under MPLADS for: Rejuvenation of traditional percolation tank and public drinking well at Shivajinagar. Implemented by State Rural Water Supply & Sanitation Board for public benefit in Shivajinagar, Pune.",Maharashtra,Pune,Pune (LS-34),Haveli,Shivajinagar,18.57366,73.806963,Murlidhar Mohol,Lok Sabha,Drinking Water Supply,IN_PROGRESS,2024-02-02,2024-08-29,,AGY-JAL-PUN,State Rural Water Supply & Sanitation Board,Line Department,1300000,1274000.0,1001000.0,273000.0,77.0,98.2,water_installation,3.5,371428.57,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-MA-IND-01523,Construction of Cement Concrete (CC) Road and side drains from Panchayat Bhawan to Main Gate in Sanwer,"Administrative sanction under MPLADS for: Construction of modern girls toilet block and sanitation facility at Primary School, Betma. Implemented by Gram Panchayat Development Committee for public benefit in Betma, Indore.",Madhya Pradesh,Indore,Indore (LS-26),Mhow,Sanwer,22.701391,75.817718,Shankar Lalwani,Lok Sabha,Roads & Pathways,IN_PROGRESS,2025-12-19,2026-12-05,,AGY-PRI-IND,Gram Panchayat Development Committee,Panchayati Raj,6290000,3806000.0,2906400.0,899600.0,42.0,55.5,classroom_block,4.3,3145000.0,DUPLICATE_PAIR,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-KA-BEN-01361,Development of Rural Sports Playground with boundary wall and athletic track at Doddaballapura,"Administrative sanction under MPLADS for: Development of Rural Sports Playground with boundary wall and athletic track at Doddaballapura. Implemented by District Rural Development Agency for public benefit in Doddaballapura, Bengaluru Rural.",Karnataka,Bengaluru Rural,Bengaluru Rural (LS-23),Devanahalli,Doddaballapura,13.312442,77.468205,C. N. Manjunath,Lok Sabha,Community Infrastructure,IN_PROGRESS,2024-12-09,2025-09-21,,AGY-DRDA-BEN,District Rural Development Agency,Line Department,6750000,5805000.0,5062500.0,742500.0,75.0,99.2,community_hall,2.4,2812500.0,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-MA-PUN-01552,Desilting and embankment strengthening of drainage canal serving agricultural fields in Baramati,"Administrative sanction under MPLADS for: Desilting and embankment strengthening of drainage canal serving agricultural fields in Baramati. Implemented by Vanguard Infra Projects Pvt Ltd for public benefit in Baramati, Pune.",Maharashtra,Pune,Pune (LS-34),Haveli,Baramati,18.474985,73.88513,Murlidhar Mohol,Lok Sabha,Irrigation & Flood Control,IN_PROGRESS,2025-02-01,2025-11-24,,AGY-CONTR-101-PUN,Vanguard Infra Projects Pvt Ltd,Registered Contractor,4000000,3680000.0,3320000.0,360000.0,83.0,87.3,check_dam,2.4,1666666.67,AGENCY_MONOPOLY,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-WE-DAR-01075,Upgradation of link road and culvert bridging at Sukhiapokhri,"Administrative sanction under MPLADS for: Upgradation of link road and culvert bridging at Sukhiapokhri. Implemented by Apex Engineering & Construction Syndicate for public benefit in Sukhiapokhri, Darjeeling.",West Bengal,Darjeeling,Darjeeling (LS-04),Kurseong,Sukhiapokhri,26.968233,88.302863,Raju Bista,Lok Sabha,Roads & Pathways,COMPLETED,2025-02-24,2025-09-08,2025-09-12,AGY-CONTR-102-DAR,Apex Engineering & Construction Syndicate,Registered Contractor,5280000,4752000.0,4382400.0,369600.0,83.0,100.0,kilometer,2.8,1885714.29,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-UT-VAR-01475,"Setting up of automated diagnostic lab unit at Community Health Centre, Kashi","Administrative sanction under MPLADS for: Setting up of automated diagnostic lab unit at Community Health Centre, Kashi. Implemented by Public Works Department (Div-1) for public benefit in Kashi, Varanasi.",Uttar Pradesh,Varanasi,Varanasi (LS-77),Rohaniya,Kashi,25.385373,82.995082,Narendra Modi,Lok Sabha,Health & Sanitation,IN_PROGRESS,2026-04-12,2027-03-17,,AGY-PWD-VAR,Public Works Department (Div-1),Line Department,11340000,10866980.93,10512881.51,354099.42,92.7,14.5,facility_center,4.0,2835000.0,HIGH_SPEND_LOW_PROGRESS,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-WE-DAR-01039,"Establishment of Composite Science and STEM Laboratory at Zilla Parishad High School, Kurseong","Administrative sanction under MPLADS for: Establishment of Composite Science and STEM Laboratory at Zilla Parishad High School, Kurseong. Implemented by Apex Engineering & Construction Syndicate for public benefit in Kurseong, Darjeeling.",West Bengal,Darjeeling,Darjeeling (LS-04),Kurseong,Kurseong,27.077254,88.299101,Raju Bista,Lok Sabha,Education & School Infrastructure,IN_PROGRESS,2025-08-01,2026-04-21,,AGY-CONTR-102-DAR,Apex Engineering & Construction Syndicate,Registered Contractor,1390000,1237100.0,1000800.0,236300.0,72.0,92.6,classroom_block,1.1,1263636.36,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-UT-VAR-01352,Desilting and embankment strengthening of drainage canal serving agricultural fields in Shivpur,"Administrative sanction under MPLADS for: Desilting and embankment strengthening of drainage canal serving agricultural fields in Shivpur. Implemented by Shree Balaji Civic Builders for public benefit in Shivpur, Varanasi.",Uttar Pradesh,Varanasi,Varanasi (LS-77),Rohaniya,Shivpur,25.271529,82.970805,Narendra Modi,Lok Sabha,Irrigation & Flood Control,IN_PROGRESS,2025-10-14,2026-09-29,,AGY-CONTR-103-VAR,Shree Balaji Civic Builders,Registered Contractor,4680000,4258800.0,3884400.0,374400.0,83.0,75.9,check_dam,2.0,2340000.0,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-KA-BEN-01052,Rejuvenation of traditional percolation tank and public drinking well at Doddaballapura,"Administrative sanction under MPLADS for: Rejuvenation of traditional percolation tank and public drinking well at Doddaballapura. Implemented by Shree Balaji Civic Builders for public benefit in Doddaballapura, Bengaluru Rural.",Karnataka,Bengaluru Rural,Bengaluru Rural (LS-23),Devanahalli,Doddaballapura,13.252134999999999,77.577911,C. N. Manjunath,Lok Sabha,Drinking Water Supply,IN_PROGRESS,2024-05-19,2025-05-05,,AGY-CONTR-103-BEN,Shree Balaji Civic Builders,Registered Contractor,1680000,1663200.0,1276800.0,386400.0,76.0,89.4,water_installation,3.2,525000.0,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-RA-JAI-01096,Construction of gabion flood protection retaining wall along vulnerable bank in Bassi,"Administrative sanction under MPLADS for: Construction of gabion flood protection retaining wall along vulnerable bank in Bassi. Implemented by Shree Balaji Civic Builders for public benefit in Bassi, Jaipur.",Rajasthan,Jaipur,Jaipur (LS-07),Sanganer,Bassi,26.865448,75.779332,Manju Sharma,Lok Sabha,Irrigation & Flood Control,IN_PROGRESS,2024-05-02,2024-12-29,,AGY-CONTR-103-JAI,Shree Balaji Civic Builders,Registered Contractor,9310000,9030700.0,7448000.0,1582700.0,80.0,81.8,check_dam,3.9,2387179.49,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-WE-DAR-01148,Paving of interlocking paver block street in Siliguri Ward 4,"Administrative sanction under MPLADS for: Paving of interlocking paver block street in Siliguri Ward 4. Implemented by Shree Balaji Civic Builders for public benefit in Siliguri, Darjeeling.",West Bengal,Darjeeling,Darjeeling (LS-04),Kurseong,Siliguri,27.052333,88.285733,Raju Bista,Lok Sabha,Roads & Pathways,IN_PROGRESS,2024-09-09,2025-06-19,,AGY-CONTR-103-DAR,Shree Balaji Civic Builders,Registered Contractor,8070000,7424400.0,6456000.0,968400.0,80.0,98.0,kilometer,4.1,1968292.68,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-MA-PUN-01457,Setting up of Community RO Water Purification Plant with distribution kiosk at Manchar,"Administrative sanction under MPLADS for: Setting up of Community RO Water Purification Plant with distribution kiosk at Manchar. Implemented by State Rural Water Supply & Sanitation Board for public benefit in Manchar, Pune.",Maharashtra,Pune,Pune (LS-34),Haveli,Manchar,18.489295,73.956739,Murlidhar Mohol,Lok Sabha,Drinking Water Supply,IN_PROGRESS,2024-01-20,2024-10-30,,AGY-JAL-PUN,State Rural Water Supply & Sanitation Board,Line Department,1900000,1744148.05,1680402.65,63745.4,88.4,11.1,water_installation,3.2,593750.0,HIGH_SPEND_LOW_PROGRESS,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-RA-JAI-01512,Procurement of Basic Life Support Mobile Ambulance van for community health services in Jaipur,"Administrative sanction under MPLADS for: Procurement of Basic Life Support Mobile Ambulance van for community health services in Jaipur. Implemented by Municipal Corporation Public Infrastructure Cell for public benefit in Bassi, Jaipur.",Rajasthan,Jaipur,Jaipur (LS-07),Sanganer,Bassi,27.006658,75.948302,Manju Sharma,Lok Sabha,Health & Sanitation,STALLED,2023-06-04,2024-03-30,,AGY-MUNC-JAI,Municipal Corporation Public Infrastructure Cell,Municipal Corporation,12510000,8757000.0,7443450.0,1313550.0,59.5,46.8,facility_center,3.9,3207692.31,DELAYED_PROJECT,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
